"t","c","o","h","l","v","date","s"
"1336867200","73.75659093","74.72707239","74.72707239","73.75659093","420","2012-05-13 00:00:00",""
"1336953600","69.87699425","73.75904948","72.78853567","69.87699425","1050","2012-05-14 00:00:00",""
"1337040000","75.69774787","69.87484419","76.66823182","70.84532813","18400","2012-05-15 00:00:00",""
"1337126400","79.58104233","75.69904027","79.58104233","75.69904027","9250","2012-05-16 00:00:00",""
"1337212800","78.61015362","79.58064934","81.52164079","76.66916217","15090","2012-05-17 00:00:00",""
"1337472000","70.84347044","78.60713843","77.63667993","70.84347044","24110","2012-05-20 00:00:00",""
"1337558400","67.9318038","70.84316682","71.81362117","66.96134946","35630","2012-05-21 00:00:00",""
"1337644800","72.7821346","67.92999229","73.75256306","65.98913537","10210","2012-05-22 00:00:00",""
"1337817600","73.75013699","72.77974045","73.75013699","73.75013699","520","2012-05-24 00:00:00",""
"1338076800","73.75013699","73.75013699","74.72053353","73.75013699","70","2012-05-27 00:00:00",""
"1338422400","66.95774937","73.75056452","72.78016236","66.95774937","430","2012-05-31 00:00:00",""
"1338681600","61.13242517","66.95456091","65.98420495","61.13242517","17950","2012-06-03 00:00:00",""
"1338768000","56.27851062","61.13010636","60.15978721","56.27851062","14600","2012-06-04 00:00:00",""
"1338854400","53.36891162","56.27994316","56.27994316","51.42822392","7730","2012-06-05 00:00:00",""
"1338940800","56.2775173","53.36661123","56.2775173","52.39630921","13350","2012-06-06 00:00:00",""
"1339027200","57.2454906","56.27522805","61.12654081","56.27522805","32500","2012-06-07 00:00:00",""
"1339286400","58.21293939","57.24272373","59.18315505","57.24272373","17770","2012-06-10 00:00:00",""
"1339372800","57.2407833","58.21096607","58.21096607","57.2407833","3000","2012-06-11 00:00:00",""
"1339459200","54.33295151","57.24364534","57.24364534","54.33295151","5900","2012-06-12 00:00:00",""
"1339545600","55.30551134","54.33523921","58.21632773","55.30551134","8010","2012-06-13 00:00:00",""
"1339632000","57.24673479","55.30616751","57.24673479","55.30616751","1860","2012-06-14 00:00:00",""
"1339891200","55.30607048","57.24663436","57.24663436","54.33578854","4400","2012-06-17 00:00:00",""
"1339977600","54.33821425","55.3085395","55.3085395","54.33821425","7000","2012-06-18 00:00:00",""
"1340064000","53.36556021","54.33584312","53.36556021","53.36556021","2000","2012-06-19 00:00:00",""
